Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2020-08-17,Flat Barbell Bench Press,Chest,40.0,kgs,12,,,,""
2020-08-17,Flat Barbell Bench Press,Chest,40.0,kgs,10,,,,""
2020-08-17,Flat Barbell Bench Press,Chest,50.0,kgs,6,,,,""
2020-08-17,Flat Barbell Bench Press,Chest,50.0,kgs,5,,,,""
2020-08-17,Flat Barbell Bench Press,Chest,50.0,kgs,5,,,,""
2020-08-17,Incline Hammer Strength Chest Press,Chest,20.0,kgs,12,,,,""
2020-08-17,Incline Hammer Strength Chest Press,Chest,30.0,kgs,10,,,,""
2020-08-17,Incline Hammer Strength Chest Press,Chest,30.0,kgs,10,,,,""
2020-08-17,Incline Hammer Strength Chest Press,Chest,30.0,kgs,10,,,,""
2020-08-17,Incline Hammer Strength Chest Press,Chest,40.0,kgs,10,,,,""
2020-08-17,Cable Fly,Chest,15.0,kgs,10,,,,""
2020-08-17,Cable Fly,Chest,15.0,kgs,10,,,,""
2020-08-17,Cable Fly,Chest,20.0,kgs,5,,,,""
2020-08-17,Cable Fly,Chest,15.0,kgs,8,,,,""
2020-08-17,Cable Fly,Chest,15.0,kgs,8,,,,""
2020-08-17,Rope Push Down,Triceps,15.0,kgs,10,,,,""
2020-08-17,Rope Push Down,Triceps,17.5,kgs,10,,,,""
2020-08-17,Rope Push Down,Triceps,20.0,kgs,10,,,,""
2020-08-17,Rope Push Down,Triceps,22.5,kgs,10,,,,""
2020-08-17,Rope Push Down,Triceps,22.5,kgs,5,,,,""
2020-08-17,Lying Triceps Extension,Triceps,16.0,kgs,10,,,,"Single dumbell?"
2020-08-17,Lying Triceps Extension,Triceps,16.0,kgs,8,,,,""
2020-08-17,Lying Triceps Extension,Triceps,16.0,kgs,10,,,,""
2020-08-17,Lying Triceps Extension,Triceps,16.0,kgs,10,,,,""
2020-08-17,Lying Triceps Extension,Triceps,16.0,kgs,10,,,,""
2020-09-07,Flat Barbell Bench Press,Chest,30.0,kgs,10,,,,""
2020-09-07,Flat Barbell Bench Press,Chest,40.0,kgs,10,,,,""
2020-09-07,Flat Barbell Bench Press,Chest,40.0,kgs,6,,,,""
2020-09-07,Flat Barbell Bench Press,Chest,45.0,kgs,5,,,,""
2020-09-07,Flat Barbell Bench Press,Chest,45.0,kgs,5,,,,""
2020-09-07,Incline Hammer Strength Chest Press,Chest,30.0,kgs,10,,,,""
2020-09-07,Incline Hammer Strength Chest Press,Chest,30.0,kgs,10,,,,""
2020-09-07,Incline Hammer Strength Chest Press,Chest,40.0,kgs,10,,,,""
2020-09-07,Incline Hammer Strength Chest Press,Chest,40.0,kgs,10,,,,""
2020-09-07,Incline Hammer Strength Chest Press,Chest,40.0,kgs,10,,,,""
2020-09-07,Rope Push Down,Triceps,17.5,kgs,10,,,,""
2020-09-07,Rope Push Down,Triceps,20.0,kgs,10,,,,""
2020-09-07,Rope Push Down,Triceps,22.5,kgs,10,,,,""
2020-09-07,Rope Push Down,Triceps,22.5,kgs,9,,,,""
2020-09-07,Cable Fly,Chest,15.0,kgs,10,,,,""
2020-09-07,Cable Fly,Chest,15.0,kgs,12,,,,""
2020-09-07,Cable Fly,Chest,15.0,kgs,10,,,,""
2020-09-07,Cable Fly,Chest,15.0,kgs,10,,,,""
2020-09-07,Lying Triceps Extension,Triceps,16.0,kgs,10,,,,""
2020-09-07,Lying Triceps Extension,Triceps,16.0,kgs,10,,,,""
2020-09-07,Lying Triceps Extension,Triceps,16.0,kgs,10,,,,""
2020-09-08,Barbell Row,Back,40.0,kgs,10,,,,""
2020-09-08,Barbell Row,Back,50.0,kgs,10,,,,""
2020-09-08,Barbell Row,Back,50.0,kgs,10,,,,""
2020-09-08,Barbell Row,Back,50.0,kgs,6,,,,""
2020-09-08,Straight-Arm Cable Pushdown,Back,12.5,kgs,10,,,,""
2020-09-08,Straight-Arm Cable Pushdown,Back,17.5,kgs,10,,,,""
2020-09-08,Straight-Arm Cable Pushdown,Back,20.0,kgs,10,,,,""
2020-09-08,Straight-Arm Cable Pushdown,Back,20.0,kgs,10,,,,""
2020-09-08,Straight-Arm Cable Pushdown,Back,20.0,kgs,10,,,,""
2020-09-08,Lat Pulldown,Back,50.0,kgs,10,,,,""
2020-09-08,Lat Pulldown,Back,55.0,kgs,6,,,,""
2020-09-08,Lat Pulldown,Back,40.0,kgs,15,,,,""
2020-09-08,Lat Pulldown,Back,40.0,kgs,10,,,,""
2020-09-08,Seated Cable Row,Back,30.0,kgs,10,,,,""
2020-09-08,Seated Cable Row,Back,35.0,kgs,10,,,,""
2020-09-08,Seated Cable Row,Back,35.0,kgs,10,,,,""
2020-09-08,Seated Cable Row,Back,40.0,kgs,8,,,,""
2020-09-08,Dumbbell Hammer Curl,Biceps,24.0,kgs,10,,,,""
2020-09-08,Dumbbell Hammer Curl,Biceps,24.0,kgs,7,,,,""
2020-09-08,EZ-Bar Preacher Curl,Biceps,20.0,kgs,6,,,,""
2020-09-08,EZ-Bar Preacher Curl,Biceps,20.0,kgs,7,,,,""
2020-09-08,EZ-Bar Curl,Biceps,20.0,kgs,7,,,,""
2020-09-08,EZ-Bar Curl,Biceps,20.0,kgs,7,,,,""
2020-09-13,Barbell Squat,Legs,50.0,kgs,10,,,,""
2020-09-13,Barbell Squat,Legs,60.0,kgs,10,,,,""
2020-09-13,Barbell Squat,Legs,65.0,kgs,10,,,,""
2020-09-13,Barbell Squat,Legs,65.0,kgs,10,,,,""
2020-09-13,Barbell Squat,Legs,65.0,kgs,5,,,,""
2020-09-13,Seated Leg Curl Machine,Legs,37.5,kgs,10,,,,""
2020-09-13,Seated Leg Curl Machine,Legs,47.5,kgs,10,,,,""
2020-09-13,Seated Leg Curl Machine,Legs,52.5,kgs,10,,,,""
2020-09-13,Seated Leg Curl Machine,Legs,52.5,kgs,10,,,,""
2020-09-13,Leg Extension Machine,Legs,40.0,kgs,10,,,,""
2020-09-13,Leg Extension Machine,Legs,40.0,kgs,10,,,,""
2020-09-13,Leg Extension Machine,Legs,50.0,kgs,10,,,,""
2020-09-13,Leg Extension Machine,Legs,50.0,kgs,10,,,,""
2020-09-13,Out Abductor,Legs,30.0,kgs,20,,,,""
2020-09-13,Out Abductor,Legs,45.0,kgs,20,,,,""
2020-09-13,Out Abductor,Legs,55.0,kgs,20,,,,""
2020-09-13,Out Abductor,Legs,60.0,kgs,20,,,,""
2020-09-13,Out Abductor,Legs,60.0,kgs,15,,,,""
2020-12-11,Flat Barbell Bench Press,Chest,35.0,kgs,10,,,,""
2020-12-11,Flat Barbell Bench Press,Chest,40.0,kgs,10,,,,""
2020-12-11,Flat Barbell Bench Press,Chest,45.0,kgs,7,,,,""
2020-12-11,Flat Barbell Bench Press,Chest,47.5,kgs,7,,,,""
2020-12-11,Flat Barbell Bench Press,Chest,50.0,kgs,7,,,,""
2020-12-11,Flat Barbell Bench Press,Chest,50.0,kgs,5,,,,""
2020-12-11,Rope Push Down,Triceps,20.0,kgs,10,,,,""
2020-12-11,Rope Push Down,Triceps,20.0,kgs,10,,,,""
2020-12-11,Rope Push Down,Triceps,22.5,kgs,10,,,,""
2020-12-11,Rope Push Down,Triceps,20.0,kgs,10,,,,""
2020-12-11,Rope Push Down,Triceps,15.0,kgs,12,,,,""
2020-12-11,Incline Hammer Strength Chest Press,Chest,40.0,kgs,10,,,,""
2020-12-11,Incline Hammer Strength Chest Press,Chest,40.0,kgs,10,,,,""
2020-12-11,Incline Hammer Strength Chest Press,Chest,40.0,kgs,10,,,,""
2020-12-11,Incline Hammer Strength Chest Press,Chest,40.0,kgs,8,,,,""
2020-12-11,Cable Overhead Triceps Extension,Triceps,7.5,kgs,10,,,,""
2020-12-11,Cable Overhead Triceps Extension,Triceps,12.5,kgs,10,,,,""
2020-12-11,Cable Overhead Triceps Extension,Triceps,12.5,kgs,10,,,,""
2020-12-11,Cable Overhead Triceps Extension,Triceps,12.5,kgs,10,,,,""
2020-12-11,Cable Fly,Chest,12.5,kgs,10,,,,""
2020-12-11,Cable Fly,Chest,12.5,kgs,8,,,,""
2020-12-11,Cable Fly,Chest,12.5,kgs,7,,,,""
2020-12-11,Cable Fly,Chest,12.5,kgs,7,,,,""
2020-12-11,Overhead Press,Shoulders,25.0,kgs,5,,,,""
2020-12-11,Overhead Press,Shoulders,25.0,kgs,4,,,,""
2020-12-11,Overhead Press,Shoulders,20.0,kgs,6,,,,""
2020-12-14,Deadlift,Back,60.0,kgs,10,,,,""
2020-12-14,Deadlift,Back,70.0,kgs,8,,,,""
2020-12-14,Deadlift,Back,70.0,kgs,10,,,,""
2020-12-14,Deadlift,Back,70.0,kgs,8,,,,""
2020-12-14,Deadlift,Back,80.0,kgs,5,,,,""
2020-12-14,Straight-Arm Cable Pushdown,Back,12.5,kgs,10,,,,""
2020-12-14,Straight-Arm Cable Pushdown,Back,17.5,kgs,10,,,,""
2020-12-14,Straight-Arm Cable Pushdown,Back,20.0,kgs,8,,,,""
2020-12-14,Straight-Arm Cable Pushdown,Back,20.0,kgs,9,,,,""
2020-12-14,EZ-Bar Preacher Curl,Biceps,20.0,kgs,12,,,,""
2020-12-14,EZ-Bar Preacher Curl,Biceps,20.0,kgs,10,,,,""
2020-12-14,EZ-Bar Preacher Curl,Biceps,20.0,kgs,10,,,,""
2020-12-14,EZ-Bar Preacher Curl,Biceps,20.0,kgs,8,,,,""
2020-12-14,Barbell Row,Back,40.0,kgs,8,,,,""
2020-12-14,Barbell Row,Back,40.0,kgs,6,,,,""
2020-12-14,Barbell Row,Back,40.0,kgs,6,,,,""
2020-12-14,Seated Cable Row,Back,30.0,kgs,10,,,,""
2020-12-14,Seated Cable Row,Back,35.0,kgs,10,,,,""
2020-12-14,Seated Cable Row,Back,35.0,kgs,10,,,,""
2020-12-14,Seated Cable Row,Back,35.0,kgs,8,,,,""
2020-12-14,Dumbbell Hammer Curl,Biceps,18.0,kgs,10,,,,""
2020-12-14,Dumbbell Hammer Curl,Biceps,18.0,kgs,10,,,,""
2020-12-18,Flat Barbell Bench Press,Chest,40.0,kgs,10,,,,""
2020-12-18,Flat Barbell Bench Press,Chest,50.0,kgs,7,,,,""
2020-12-18,Flat Barbell Bench Press,Chest,50.0,kgs,7,,,,""
2020-12-18,Flat Barbell Bench Press,Chest,55.0,kgs,4,,,,""
2020-12-18,Flat Barbell Bench Press,Chest,55.0,kgs,3,,,,""
2020-12-18,Flat Barbell Bench Press,Chest,45.0,kgs,6,,,,""
2020-12-18,Rope Push Down,Triceps,20.0,kgs,10,,,,""
2020-12-18,Rope Push Down,Triceps,17.5,kgs,10,,,,""
2020-12-18,Rope Push Down,Triceps,17.5,kgs,10,,,,""
2020-12-18,Rope Push Down,Triceps,17.5,kgs,10,,,,""
2020-12-18,Rope Push Down,Triceps,17.5,kgs,10,,,,""
2020-12-18,Overhead Press,Shoulders,20.0,kgs,10,,,,""
2020-12-18,Overhead Press,Shoulders,25.0,kgs,8,,,,""
2020-12-18,Overhead Press,Shoulders,27.5,kgs,7,,,,""
2020-12-18,Overhead Press,Shoulders,27.5,kgs,6,,,,""
2020-12-18,Overhead Press,Shoulders,27.5,kgs,4,,,,""
2020-12-18,Incline Hammer Strength Chest Press,Chest,40.0,kgs,10,,,,""
2020-12-18,Incline Hammer Strength Chest Press,Chest,40.0,kgs,10,,,,""
2020-12-18,Incline Hammer Strength Chest Press,Chest,40.0,kgs,10,,,,""
2020-12-18,Incline Hammer Strength Chest Press,Chest,40.0,kgs,9,,,,""
2020-12-18,Cable Overhead Triceps Extension,Triceps,10.0,kgs,12,,,,""
2020-12-18,Cable Overhead Triceps Extension,Triceps,12.5,kgs,12,,,,""
2020-12-18,Cable Overhead Triceps Extension,Triceps,12.5,kgs,10,,,,""
2020-12-18,Cable Fly,Chest,12.5,kgs,10,,,,""
2020-12-18,Cable Fly,Chest,12.5,kgs,10,,,,""
2020-12-18,Cable Fly,Chest,12.5,kgs,8,,,,""
2020-12-20,Barbell Squat,Legs,20.0,kgs,10,,,,""
2020-12-20,Barbell Squat,Legs,60.0,kgs,10,,,,""
2020-12-20,Barbell Squat,Legs,65.0,kgs,10,,,,""
2020-12-20,Barbell Squat,Legs,65.0,kgs,10,,,,""
2020-12-20,Barbell Squat,Legs,67.5,kgs,8,,,,""
2020-12-20,Barbell Squat,Legs,70.0,kgs,5,,,,""
2020-12-20,Seated Leg Curl Machine,Legs,40.0,kgs,12,,,,""
2020-12-20,Seated Leg Curl Machine,Legs,45.0,kgs,12,,,,""
2020-12-20,Seated Leg Curl Machine,Legs,50.0,kgs,12,,,,""
2020-12-20,Seated Leg Curl Machine,Legs,55.0,kgs,12,,,,""
2020-12-20,Seated Leg Curl Machine,Legs,60.0,kgs,10,,,,""
2020-12-20,Leg Extension Machine,Legs,40.0,kgs,10,,,,""
2020-12-20,Leg Extension Machine,Legs,40.0,kgs,10,,,,""
2020-12-20,Leg Extension Machine,Legs,40.0,kgs,10,,,,""
2020-12-20,Leg Extension Machine,Legs,45.0,kgs,10,,,,""
2020-12-20,In Abductor,Legs,45.0,kgs,15,,,,""
2020-12-20,In Abductor,Legs,45.0,kgs,10,,,,""
2020-12-20,In Abductor,Legs,55.0,kgs,15,,,,""
2020-12-20,In Abductor,Legs,60.0,kgs,10,,,,""
2020-12-21,Flat Barbell Bench Press,Chest,20.0,kgs,10,,,,""
2020-12-21,Flat Barbell Bench Press,Chest,60.0,kgs,3,,,,""
2020-12-21,Flat Barbell Bench Press,Chest,60.0,kgs,5,,,,""
2020-12-21,Flat Barbell Bench Press,Chest,60.0,kgs,4,,,,""
2020-12-21,Flat Barbell Bench Press,Chest,55.0,kgs,8,,,,""
2020-12-21,Flat Barbell Bench Press,Chest,55.0,kgs,6,,,,""
2020-12-21,Flat Barbell Bench Press,Chest,40.0,kgs,10,,,,""
2020-12-21,Rope Push Down,Triceps,17.5,kgs,12,,,,""
2020-12-21,Rope Push Down,Triceps,17.5,kgs,10,,,,""
2020-12-21,Rope Push Down,Triceps,20.0,kgs,7,,,,""
2020-12-21,Rope Push Down,Triceps,20.0,kgs,10,,,,""
2020-12-21,Overhead Press,Shoulders,20.0,kgs,10,,,,""
2020-12-21,Overhead Press,Shoulders,25.0,kgs,10,,,,""
2020-12-21,Overhead Press,Shoulders,30.0,kgs,6,,,,""
2020-12-21,Overhead Press,Shoulders,30.0,kgs,4,,,,""
2020-12-21,Incline Hammer Strength Chest Press,Chest,30.0,kgs,12,,,,""
2020-12-21,Incline Hammer Strength Chest Press,Chest,35.0,kgs,10,,,,""
2020-12-21,Incline Hammer Strength Chest Press,Chest,35.0,kgs,10,,,,""
2020-12-21,Incline Hammer Strength Chest Press,Chest,35.0,kgs,8,,,,""
2020-12-21,Cable Overhead Triceps Extension,Triceps,10.0,kgs,15,,,,""
2020-12-21,Cable Overhead Triceps Extension,Triceps,12.5,kgs,12,,,,""
2020-12-21,Cable Overhead Triceps Extension,Triceps,12.5,kgs,10,,,,""
2020-12-21,Cable Fly,Chest,12.5,kgs,12,,,,""
2020-12-21,Cable Fly,Chest,15.0,kgs,10,,,,""
2020-12-21,Cable Fly,Chest,15.0,kgs,8,,,,""
2021-06-29,Overhead Press,Shoulders,20.0,kgs,8,,,,""
2021-06-29,Overhead Press,Shoulders,30.0,kgs,8,,,,""
2021-06-29,Overhead Press,Shoulders,35.0,kgs,6,,,,""
2021-06-29,Overhead Press,Shoulders,35.0,kgs,7,,,,""
2021-06-29,Overhead Press,Shoulders,35.0,kgs,6,,,,""
2021-06-29,Overhead Press,Shoulders,30.0,kgs,7,,,,""
2021-06-29,Seated Dumbbell Press,Shoulders,12.0,kgs,10,,,,""
2021-06-29,Seated Dumbbell Press,Shoulders,16.0,kgs,9,,,,""
2021-06-29,Seated Dumbbell Press,Shoulders,16.0,kgs,8,,,,""
2021-06-29,Seated Dumbbell Press,Shoulders,16.0,kgs,9,,,,""
2021-06-29,Lateral Dumbbell Raise,Shoulders,7.0,kgs,8,,,,""
2021-06-29,Lateral Dumbbell Raise,Shoulders,7.0,kgs,8,,,,""
2021-06-29,Lateral Dumbbell Raise,Shoulders,7.0,kgs,8,,,,""
2021-06-29,Cable Face Pull,Shoulders,15.0,kgs,10,,,,""
2021-06-29,Cable Face Pull,Shoulders,17.5,kgs,10,,,,""
2021-06-29,Cable Face Pull,Shoulders,21.0,kgs,12,,,,""
2021-06-29,Barbell Shrug,Back,50.0,kgs,10,,,,""
2021-06-29,Barbell Shrug,Back,50.0,kgs,10,,,,""
2021-06-29,Barbell Shrug,Back,50.0,kgs,10,,,,""
2021-06-29,Barbell Shrug,Back,50.0,kgs,10,,,,""
2021-07-06,Flat Barbell Bench Press,Chest,20.0,kgs,10,,,,""
2021-07-06,Flat Barbell Bench Press,Chest,40.0,kgs,10,,,,""
2021-07-06,Flat Barbell Bench Press,Chest,45.0,kgs,10,,,,""
2021-07-06,Flat Barbell Bench Press,Chest,50.0,kgs,6,,,,""
2021-07-06,Flat Barbell Bench Press,Chest,50.0,kgs,6,,,,""
2021-07-06,Flat Barbell Bench Press,Chest,50.0,kgs,4,,,,""
2021-07-06,Flat Barbell Bench Press,Chest,40.0,kgs,7,,,,""
2021-07-06,Incline Dumbbell Bench Press,Chest,12.0,kgs,10,,,,""
2021-07-06,Incline Dumbbell Bench Press,Chest,16.0,kgs,10,,,,""
2021-07-06,Incline Dumbbell Bench Press,Chest,16.0,kgs,10,,,,""
2021-07-06,Incline Dumbbell Bench Press,Chest,16.0,kgs,10,,,,""
2021-07-06,Rope Push Down,Triceps,15.0,kgs,12,,,,""
2021-07-06,Rope Push Down,Triceps,17.5,kgs,10,,,,""
2021-07-06,Rope Push Down,Triceps,17.5,kgs,10,,,,""
2021-07-06,Rope Push Down,Triceps,17.5,kgs,10,,,,""
2021-07-06,Cable Fly,Chest,6.25,kgs,12,,,,""
2021-07-06,Cable Fly,Chest,11.25,kgs,10,,,,""
2021-07-06,Cable Fly,Chest,11.25,kgs,7,,,,""
2021-07-06,Cable Fly,Chest,11.25,kgs,9,,,,""
2021-07-06,Cable Overhead Triceps Extension,Triceps,10.0,kgs,10,,,,""
2021-07-06,Cable Overhead Triceps Extension,Triceps,12.5,kgs,12,,,,""
2021-07-06,Cable Overhead Triceps Extension,Triceps,15.0,kgs,12,,,,""
2021-07-06,Cable Overhead Triceps Extension,Triceps,15.0,kgs,10,,,,""
2021-07-07,Pull Up,Back,0.0,kgs,5,,,,""
2021-07-07,Pull Up,Back,0.0,kgs,5,,,,""
2021-07-07,Pull Up,Back,0.0,kgs,5,,,,""
2021-07-07,Pull Up,Back,0.0,kgs,5,,,,""
2021-07-07,Seated Cable Row,Back,40.0,kgs,10,,,,""
2021-07-07,Seated Cable Row,Back,47.0,kgs,10,,,,""
2021-07-07,Seated Cable Row,Back,47.0,kgs,10,,,,""
2021-07-07,Seated Cable Row,Back,47.0,kgs,10,,,,""
2021-07-07,Back Extension,Back,15.0,kgs,10,,,,""
2021-07-07,Back Extension,Back,15.0,kgs,10,,,,""
2021-07-07,Back Extension,Back,15.0,kgs,10,,,,""
2021-07-07,Back Extension,Back,15.0,kgs,10,,,,""
2021-07-07,Lat Pulldown,Back,47.0,kgs,10,,,,""
2021-07-07,Lat Pulldown,Back,47.0,kgs,10,,,,""
2021-07-07,Lat Pulldown,Back,52.0,kgs,10,,,,""
2021-07-07,Lat Pulldown,Back,52.0,kgs,8,,,,""
2021-07-07,Straight-Arm Cable Pushdown,Back,15.0,kgs,10,,,,""
2021-07-07,Straight-Arm Cable Pushdown,Back,17.5,kgs,10,,,,""
2021-07-07,Straight-Arm Cable Pushdown,Back,17.5,kgs,10,,,,""
2021-07-07,Straight-Arm Cable Pushdown,Back,17.5,kgs,10,,,,""
2021-07-07,Cable Curl,Biceps,15.0,kgs,10,,,,""
2021-07-07,Cable Curl,Biceps,15.0,kgs,10,,,,""
2021-07-07,Cable Curl,Biceps,15.0,kgs,10,,,,""
2021-07-07,Cable Curl,Biceps,15.0,kgs,10,,,,""
2021-07-07,Dumbbell Curl,Biceps,12.0,kgs,5,,,,""
2021-07-09,Overhead Press,Shoulders,20.0,kgs,10,,,,""
2021-07-09,Overhead Press,Shoulders,35.0,kgs,6,,,,""
2021-07-09,Overhead Press,Shoulders,35.0,kgs,7,,,,""
2021-07-09,Overhead Press,Shoulders,35.0,kgs,6,,,,""
2021-07-09,Overhead Press,Shoulders,35.0,kgs,4,,,,""
2021-07-09,Overhead Press,Shoulders,30.0,kgs,6,,,,""
2021-07-09,Seated Dumbbell Press,Shoulders,16.0,kgs,10,,,,""
2021-07-09,Seated Dumbbell Press,Shoulders,16.0,kgs,10,,,,""
2021-07-09,Seated Dumbbell Press,Shoulders,16.0,kgs,10,,,,""
2021-07-09,Lateral Dumbbell Raise,Shoulders,8.0,kgs,10,,,,""
2021-07-09,Seated Dumbbell Press,Shoulders,16.0,kgs,10,,,,""
2021-07-09,Lateral Dumbbell Raise,Shoulders,8.0,kgs,10,,,,""
2021-07-09,Lateral Dumbbell Raise,Shoulders,8.0,kgs,9,,,,""
2021-07-09,Lateral Dumbbell Raise,Shoulders,8.0,kgs,8,,,,""
2021-07-09,Front Dumbbell Raise,Shoulders,6.0,kgs,8,,,,""
2021-07-09,Front Dumbbell Raise,Shoulders,6.0,kgs,8,,,,""
2021-07-09,Front Dumbbell Raise,Shoulders,6.0,kgs,6,,,,""
2021-07-09,Cable Face Pull,Shoulders,21.25,kgs,10,,,,""
2021-07-09,Cable Face Pull,Shoulders,23.75,kgs,10,,,,""
2021-07-09,Cable Face Pull,Shoulders,23.75,kgs,10,,,,""
2021-07-09,Cable Face Pull,Shoulders,23.75,kgs,10,,,,""
2021-07-13,Flat Barbell Bench Press,Chest,20.0,kgs,10,,,,""
2021-07-13,Flat Barbell Bench Press,Chest,45.0,kgs,10,,,,""
2021-07-13,Flat Barbell Bench Press,Chest,50.0,kgs,8,,,,""
2021-07-13,Flat Barbell Bench Press,Chest,55.0,kgs,5,,,,""
2021-07-13,Flat Barbell Bench Press,Chest,55.0,kgs,5,,,,""
2021-07-13,Flat Barbell Bench Press,Chest,50.0,kgs,6,,,,""
2021-07-13,Flat Barbell Bench Press,Chest,40.0,kgs,10,,,,""
2021-07-13,Incline Dumbbell Bench Press,Chest,16.0,kgs,12,,,,""
